CLIENT INDUSTRY,CLIENT OTHER INDUSTRY,CLIENT NAME
HEALTH,,RCI WRS dba NovaCare Rehabilitation
HEALTH,,Resurrection Health Care
HEALTH,,Roseland Community Hospital
HEALTH,,St. Anthony Hospital
HEALTH,,Swedish Covenant Hospital
HEALTH,,University of Chicago
Health/ Medical / Hospital,,Access Community Health Network
Health/ Medical / Hospital,,Advocate Illinois Masonic Hospital
Health/ Medical / Hospital,,"Alzheimer's Association, Greater Illinois Chapter"
Health/ Medical / Hospital,,Ann and Robert H. Lurie Children's Hospital
Health/ Medical / Hospital,,Ann and Robert Lurie Childrens Hospital
Health/ Medical / Hospital,,Ann & Robert H. Lurie Children's Hospital of Chicago
Health/ Medical / Hospital,,Artis Senior Living
Health/ Medical / Hospital,,"AstraZeneca Pharmaceuticals, LP"
Health/ Medical / Hospital,,Athletico Physical Therapy
Health/ Medical / Hospital,,Biomat USA
Health/ Medical / Hospital,,Blue Cross %2f Blue Shield
Health/ Medical / Hospital,,Chicago Southwest Development Corporation
Health/ Medical / Hospital,,Children's Memorial Hospital
Health/ Medical / Hospital,,Columbus Park LLC
Health/ Medical / Hospital,,"Curative Health Cultivation, LLC"
Health/ Medical / Hospital,,CVS Caremark Corp
Health/ Medical / Hospital,,Delta Dental of Illinois
Health/ Medical / Hospital,,Digitech Computer Inc
Health/ Medical / Hospital,,Edgewater Medical Center
Health/ Medical / Hospital,,Esperanza Health Centers
Health/ Medical / Hospital,,"Ethos Community Care Center, LLC"
Health/ Medical / Hospital,,Experimur Properties LLC
Health/ Medical / Hospital,,Extend Health
Health/ Medical / Hospital,,"Family Guidance Centers, Inc"
Health/ Medical / Hospital,,GhFITLAB
Health/ Medical / Hospital,,Goldblatt's SLF LLC
Health/ Medical / Hospital,,"GTI Clinic Holdings, LLC"
Health/ Medical / Hospital,,"GTI-WLM, LLC"
Health/ Medical / Hospital,,Health Care Council of Illinois
Health/ Medical / Hospital,,HEALTH CARE SERVICE CORPORATION 
Health/ Medical / Hospital,,"Healthway Services of Illinois, LLC "
Health/ Medical / Hospital,,"Herbalife International of America, Inc."
Health/ Medical / Hospital,,Holy Cross Hospital / Sinai Health
Health/ Medical / Hospital,,"Horizon Pharma USA, Inc."
Health/ Medical / Hospital,,"Illinois ABJ Dispensaries, LLC"
Health/ Medical / Hospital,,Illinois Hospital Association
Health/ Medical / Hospital,,Illinois Medical District
Health/ Medical / Hospital,,Intermedix Corp
Health/ Medical / Hospital,,"Kind Care, LLC"
Health/ Medical / Hospital,,La Rabida Children's Hospital
Health/ Medical / Hospital,,Loretto Hospital
Health/ Medical / Hospital,,Mado Healthcare Center
Health/ Medical / Hospital,,"Medbox, Inc"
Health/ Medical / Hospital,,MedImmune
Health/ Medical / Hospital,,MedImmune LLC
Health/ Medical / Hospital,,"MedMar, Inc."
Health/ Medical / Hospital,,Medponics
Health/ Medical / Hospital,,Medstar Laboratory
Health/ Medical / Hospital,,Mercy Hospital and Medical Center
Health/ Medical / Hospital,,"Mercy Housing, Inc."
Health/ Medical / Hospital,,Metropolitan Chicago Healthcare Council
Health/ Medical / Hospital,,Mount Sinai Hospital and Medical Center
Health/ Medical / Hospital,,Northwestern Memorial Hospital
Health/ Medical / Hospital,,Norwegian American Hospital
Health/ Medical / Hospital,,Novartis Vaccines
Health/ Medical / Hospital,,Novartis Vaccines and Diagnostics
Health/ Medical / Hospital,,"NuMed Partners Illinois, LLC"
Health/ Medical / Hospital,,NuMed RX LLC
Health/ Medical / Hospital,,Our Lady of the Resurrection Center Medical Staff
Health/ Medical / Hospital,,Pfizer Inc.
Health/ Medical / Hospital,,"Pfizer, Inc."
Health/ Medical / Hospital,,"Phoenix Farms of Illinois, LLC"
